Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Submitters,Release_Date,Isolate,Species,Length,Protein,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
XKB62052,Rotavirus A,GenBank,,PP313841,"Manjate,F., Joao,E., Mwangi,P., Chirinda,P., Mogotsi,M., Messa,A. Jr., Garrine,M., Vubil,D., Nobela,N., Cunha,C., Nyaga,M., Mandomando,I.",2024-11-07,,Rotavirus A,200,NSP5,Mozambique,,Homo sapiens,feces,2018
XAX03783,Human rotavirus A,GenBank,,OR194455,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/22160307/2022/H2,Rotavirus A,200,NSP5,China,,Homo sapiens,feces,2022
XAX03784,Human rotavirus A,GenBank,,OR194456,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/22051032/2022/H2,Rotavirus A,200,NSP5,China,,Homo sapiens,feces,2022
XAX03785,Human rotavirus A,GenBank,,OR194457,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/22051036/2022/H2,Rotavirus A,200,NSP5,China,,Homo sapiens,feces,2022
XAX03786,Human rotavirus A,GenBank,,OR194458,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/22160302/2022/H2,Rotavirus A,200,NSP5,China,,Homo sapiens,feces,2022
XAX03787,Human rotavirus A,GenBank,,OR194459,"Shen,L., Li,W., Yan,H., Gao,Z.",2024-08-22,RVA/Human-wt/CHN/22160303/2022/H2,Rotavirus A,200,NSP5,China,,Homo sapiens,feces,2022
XDL44616,Rotavirus A,GenBank,,PP848708,"Munlela,B., Joao,E.D., Strydom,A., Bauhofer,A.F.L., Chissaque,A., Chilaule,J.J., Mauricio,I.L., Donato,C.M., O'Neill,H.G., de Deus,N., joao,E.D., Mauricio,I.",2024-08-05,,Rotavirus A,200,NSP5,Mozambique,,Homo sapiens,feces,2018
XDL44664,Rotavirus A,GenBank,,PP848712,"Munlela,B., Joao,E.D., Strydom,A., Bauhofer,A.F.L., Chissaque,A., Chilaule,J.J., Mauricio,I.L., Donato,C.M., O'Neill,H.G., de Deus,N., joao,E.D., Mauricio,I.",2024-08-05,,Rotavirus A,200,NSP5,Mozambique,,Homo sapiens,feces,2018
XBR31432,Human rotavirus A,GenBank,,PP862141,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-02-27
XBR31436,Human rotavirus A,GenBank,,PP862143,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-02-23
XBR31440,Human rotavirus A,GenBank,,PP862145,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-03-11
XBR31446,Human rotavirus A,GenBank,,PP862148,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-03-04
XBR31450,Human rotavirus A,GenBank,,PP862150,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-03-05
XBR31452,Human rotavirus A,GenBank,,PP862151,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-03-08
XBR31456,Human rotavirus A,GenBank,,PP862153,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-03-18
XBR31460,Human rotavirus A,GenBank,,PP862155,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-03-15
XBR31468,Human rotavirus A,GenBank,,PP862159,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-04-11
XBR31476,Human rotavirus A,GenBank,,PP862163,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-04-17
XBR31480,Human rotavirus A,GenBank,,PP862165,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-04-15
XBR31482,Human rotavirus A,GenBank,,PP862166,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-04-24
XBR31484,Human rotavirus A,GenBank,,PP862167,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-04-01
XBR31486,Human rotavirus A,GenBank,,PP862168,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-04-28
XBR31490,Human rotavirus A,GenBank,,PP862170,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-05-05
XBR31492,Human rotavirus A,GenBank,,PP862171,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-05-06
XBR31502,Human rotavirus A,GenBank,,PP862176,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-05-26
XBR31504,Human rotavirus A,GenBank,,PP862177,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-05-19
XBR31506,Human rotavirus A,GenBank,,PP862178,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-05-14
XBR31508,Human rotavirus A,GenBank,,PP862179,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-06-08
XBR31510,Human rotavirus A,GenBank,,PP862180,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-06-03
XBR31512,Human rotavirus A,GenBank,,PP862181,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2021-06-08
XBR31514,Human rotavirus A,GenBank,,PP862182,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Pingtan,,Homo sapiens,feces,2021-05-11
XBR31516,Human rotavirus A,GenBank,,PP862183,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Pingtan,,Homo sapiens,feces,2021-05-07
XBR31520,Human rotavirus A,GenBank,,PP862185,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-02-23
XBR31524,Human rotavirus A,GenBank,,PP862187,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-02-18
XBR31526,Human rotavirus A,GenBank,,PP862188,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-02-20
XBR31528,Human rotavirus A,GenBank,,PP862189,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-02-17
XBR31530,Human rotavirus A,GenBank,,PP862190,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-02-23
XBR31532,Human rotavirus A,GenBank,,PP862191,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-02-22
XBR31534,Human rotavirus A,GenBank,,PP862192,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-03-13
XBR31536,Human rotavirus A,GenBank,,PP862193,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-03-18
XBR31542,Human rotavirus A,GenBank,,PP862196,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-03-08
XBR31550,Human rotavirus A,GenBank,,PP862200,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-06-06
XBR31552,Human rotavirus A,GenBank,,PP862201,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2022-09-11
XBR31556,Human rotavirus A,GenBank,,PP862203,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2023-02-12
XBR31558,Human rotavirus A,GenBank,,PP862204,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2023-03-10
XBR31564,Human rotavirus A,GenBank,,PP862207,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2023-03-07
XBR31566,Human rotavirus A,GenBank,,PP862208,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2023-03-09
XBR31568,Human rotavirus A,GenBank,,PP862209,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2023-03-19
XBR31572,Human rotavirus A,GenBank,,PP862211,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2023-04-16
XBR31580,Human rotavirus A,GenBank,,PP862215,"Huang,Z., Wu,B., Weng,Y., Lin,W.",2024-06-16,,Rotavirus A,200,NSP5,China: Fuzhou,,Homo sapiens,feces,2023-05-30
XAV28544,Rotavirus A,GenBank,,PP025602,"Franca,Y., Medeiros,R.S., Viana,E., de Azevedo,L.S., Guiducci,R., da Costa,A.C., Luchs,A.",2024-05-21,IAL-R465,Rotavirus A,200,NSP5/6,Brazil,,Homo sapiens,feces,2019
XAV28546,Rotavirus A,GenBank,,PP025604,"Franca,Y., Medeiros,R.S., Viana,E., de Azevedo,L.S., Guiducci,R., da Costa,A.C., Luchs,A.",2024-05-21,IAL-R52,Rotavirus A,200,NSP5/6,Brazil,,Homo sapiens,feces,2020
XAV28547,Rotavirus A,GenBank,,PP025605,"Franca,Y., Medeiros,R.S., Viana,E., de Azevedo,L.S., Guiducci,R., da Costa,A.C., Luchs,A.",2024-05-21,IAL-R95,Rotavirus A,200,NSP5/6,Brazil,,Homo sapiens,feces,2020
BDW73857,Human rotavirus A,GenBank,,LC751975,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/18R711/2018/G2P[4],Rotavirus A,200,phosphoprotein,Japan:Akita,,Homo sapiens,feces,2018
BDW73858,Human rotavirus A,GenBank,,LC751976,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/18R714/2018/G2P[4],Rotavirus A,200,phosphoprotein,Japan:Akita,,Homo sapiens,feces,2018
BDW73859,Human rotavirus A,GenBank,,LC751977,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/18R716/2018/G2P[4],Rotavirus A,200,phosphoprotein,Japan:Akita,,Homo sapiens,feces,2018
BDW73860,Human rotavirus A,GenBank,,LC751978,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/18R718/2018/G3P[8](DS-1),Rotavirus A,200,phosphoprotein,Japan:Akita,,Homo sapiens,feces,2018
BDW73862,Human rotavirus A,GenBank,,LC751980,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/19R821/2019/G2P[4],Rotavirus A,200,phosphoprotein,Japan:Akita,,Homo sapiens,feces,2019
BDW73863,Human rotavirus A,GenBank,,LC751981,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/19R824/2019/G2P[4],Rotavirus A,200,phosphoprotein,Japan:Akita,,Homo sapiens,feces,2019
BDW73864,Human rotavirus A,GenBank,,LC751982,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/19R826/2019/G2P[4],Rotavirus A,200,phosphoprotein,Japan:Akita,,Homo sapiens,feces,2019
BDW73873,Human rotavirus A,GenBank,,LC751991,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/HA19-14/2019/G8P[8],Rotavirus A,200,phosphoprotein,Japan:Hokkaido,,Homo sapiens,feces,2019
BDW73884,Human rotavirus A,GenBank,,LC752002,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/HK19-13/2019/G8P[8],Rotavirus A,200,phosphoprotein,Japan:Hokkaido,,Homo sapiens,feces,2019
BDW73889,Human rotavirus A,GenBank,,LC752007,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/Ho19-05/2019/G3P[8](DS-1),Rotavirus A,200,phosphoprotein,Japan:Hokkaido,,Homo sapiens,feces,2019
BDW73890,Human rotavirus A,GenBank,,LC752008,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/Ho19-06/2019/G3P[8](DS-1),Rotavirus A,200,phosphoprotein,Japan:Hokkaido,,Homo sapiens,feces,2019
BDW73899,Human rotavirus A,GenBank,,LC752017,"Fujii,Y., Tsugawa,T., Fukuda,Y., Adachi,S., Honjo,S., Akane,Y., Kondo,K., Sakai,Y., Tanaka,T., Sato,T., Higasidate,Y., Kubo,N., Mori,T., Kato,S., Hamada,R., Kikuchi,M., Tahara,Y., Nagai,K., Ohara,T., Yoshida,M., Nakata,S., Noguchi,A., Hamada,H., Tokutake-Hirose,S., Muramatsu,M.",2024-05-03,RVA/Human-wt/JPN/IW18-07/2018/G2P[4],Rotavirus A,200,phosphoprotein,Japan:Hokkaido,,Homo sapiens,feces,2018
